[COT 2022-11-16 11:8m:7s] 76561198017844134: Spawned Entity Plank (WoodenPlank<fa35cfc0>, 10, 100) at <9682.292969, 299.551422, 8919.661133>
[COT 2022-11-16 11:8m:7s] 76561198017844134: Spawned Entity Plank (WoodenPlank<fa35d9d0>, 10, 100) at <9682.292969, 299.551422, 8919.661133>
[COT 2022-11-16 11:8m:7s] 76561198017844134: Spawned Entity Plank (WoodenPlank<fa356b20>, 10, 100) at <9682.292969, 299.551422, 8919.661133>
[COT 2022-11-16 11:8m:8s] 76561198017844134: Spawned Entity Plank (WoodenPlank<fa365290>, 10, 100) at <9682.292969, 299.551422, 8919.661133>
[COT 2022-11-16 11:8m:8s] 76561198017844134: Spawned Entity Plank (WoodenPlank<fa362040>, 10, 100) at <9682.292969, 299.551422, 8919.661133>
[COT 2022-11-16 11:8m:8s] 76561198017844134: Spawned Entity Plank (WoodenPlank<fa3666b0>, 10, 100) at <9682.292969, 299.551422, 8919.661133>
[COT 2022-11-16 11:8m:8s] 76561198017844134: Spawned Entity Plank (WoodenPlank<fa360210>, 10, 100) at <9682.292969, 299.551422, 8919.661133>
[COT 2022-11-16 11:8m:8s] 76561198017844134: Spawned Entity Plank (WoodenPlank<fa367ad0>, 10, 100) at <9682.292969, 299.551422, 8919.661133>
[COT 2022-11-16 11:8m:8s] 76561198017844134: Spawned Entity Plank (WoodenPlank<b157e0e0>, 10, 100) at <9682.292969, 299.551422, 8919.661133>
[COT 2022-11-16 11:8m:8s] 76561198017844134: Spawned Entity Plank (WoodenPlank<b157ff10>, 10, 100) at <9682.292969, 299.551422, 8919.661133>
[COT 2022-11-16 11:8m:9s] 76561198017844134: Spawned Entity Plank (WoodenPlank<b1584580>, 10, 100) at <9682.292969, 299.551422, 8919.661133>
[COT 2022-11-16 11:8m:9s] 76561198017844134: Spawned Entity Plank (WoodenPlank<b15859a0>, 10, 100) at <9682.292969, 299.551422, 8919.661133>
[COT 2022-11-16 11:8m:9s] 76561198017844134: Spawned Entity Plank (WoodenPlank<b15863b0>, 10, 100) at <9682.292969, 299.551422, 8919.661133>
