[COT 2022-9M-8D 0h:48:37] 76561198015557715: Spawned Entity SCAR-L (TTC_SCARL_base<12037210>, -1, 450) at <930.443420, 454.300903, 14675.747070>
[COT 2022-9M-8D 0h:48:52] 76561198015557715: Spawned Entity Beowulf .50 (TTC_Beowulf_Base<12031990>, -1, 400) at <930.443420, 454.300903, 14675.747070>
[COT 2022-9M-8D 0h:49:13] 76561198015557715: Spawned Entity .50 Beowulf Mag (TTC_50Beo_mag<119f64a0>, 1, 100) at <930.443420, 454.300903, 14675.747070>
[COT 2022-9M-8D 0h:49:52] 76561198015557715: Spawned Entity Barrett M82A1 (TTC_M82_Base<12030e80>, -1, 200) at <930.443420, 454.300903, 14675.747070>
[COT 2022-9M-8D 0h:49:54] 76561198015557715: Spawned Entity 5 round .50BMG magazine (TTC_M82_5rnd_Mag<11a037f0>, 1, 100) at <930.443420, 454.300903, 14675.747070>
[COT 2022-9M-8D 0h:50:22] 76561198015557715: Spawned Entity HK-G28 (TTC_HKG28_Base<12033ac0>, -1, 450) at <930.443420, 454.300903, 14675.747070>
[COT 2022-9M-8D 0h:50:42] 76561198015557715: Spawned Entity 20 round .308 Stanag (TTC_308Stanag<11a0b0b0>, 1, 100) at <930.443420, 454.300903, 14675.747070>
[COT 2022-9M-8D 0h:51:16] 76561198015557715: Spawned Entity 20 round .308 Stanag (TTC_308Stanag<11a10b40>, 1, 100) at <930.443420, 454.300903, 14675.747070>
[COT 2022-9M-8D 0h:51:56] 76561198015557715: Spawned Entity HK 417 Magazine (TTC_HK417_Magazine_20rnd<11a1de90>, 1, 100) at <935.079285, 454.142151, 14671.833008>
[COT 2022-9M-8D 0h:52:30] 76561198015557715: Spawned Entity Lee–Enfield No.4 Mk I (TTC_LeeEnfield_base<120345d0>, -1, 400) at <935.079285, 454.154663, 14671.833008>
[COT 2022-9M-8D 0h:53:23] 76561198015557715: Spawned Entity AmmoBox .303 British (TTC_AmmoBox_303_20Rnd<11a29dc0>, -1, 100) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 0h:54:2s] 76561198015557715: Spawned Entity M1 Garand (TTC_M1Garand_Base<1202e240>, -1, 350) at <936.120239, 454.146179, 14672.863281>
[COT 2022-9M-8D 0h:54:31] 76561198015557715: Spawned Entity AmmoBox .30-06 (TTC_AmmoBox_3006_20Rnd<11edf710>, -1, 100) at <936.120239, 454.146179, 14672.863281>
[COT 2022-9M-8D 0h:56:3s] 76561198015557715: Spawned Entity M4 Tactical (TTC_M4Tac_Base<12027eb0>, -1, 300) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 0h:57:21] 76561198015557715: Spawned Entity M14 (TTC_M14_Base<1202b600>, -1, 450) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 0h:57:37] 76561198015557715: Spawned Entity M14 Magazine (TTC_M14_Mag_20rnd<a052e80>, 1, 100) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 0h:57:58] 76561198015557715: Spawned Entity Barrett MRAD (TTC_MRAD_base<120294d0>, -1, 300) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 0h:58:38] 76561198015557715: Spawned Entity 10 round .338 magazine (TTC_338mag_10rnd<eb43360>, 1, 100) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 0h:59:11] 76561198015557715: Spawned Entity Ammo .338 (TTC_Ammo_338<eb40110>, 1, 100) at <936.120239, 454.146149, 14672.863281>
