21:53:05 [Safezone] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4= pos=<7086.647949, 265.129730, 6889.882324>) Entered the safezone
21:55:14 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell fnx45 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
21:55:14 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold fnx45 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 188.
21:56:27 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell mkii x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
21:56:27 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold mkii x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 12.
21:58:29 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell ttc_pp91_mag_20rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
21:58:29 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold ttc_pp91_mag_20rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 458.
21:58:30 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell ttc_pp91_mag_20rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
21:58:30 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold ttc_pp91_mag_20rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 459.
21:59:25 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell ttc_holo x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
21:59:25 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold ttc_holo x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 1250.
21:59:29 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell expansion_mp5_railatt x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
21:59:29 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold expansion_mp5_railatt x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 75.
21:59:32 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell kashtanoptic x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
21:59:32 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold kashtanoptic x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 88.
22:01:44 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to purchase ttc_m14_mag_20rnd x1 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
22:01:44 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has bought ttc_m14_mag_20rnd x1 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 240.
22:12:12 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell militarybelt x1 at the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
