00:03:29 [Party] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) joinded the party "Scarred Reapers" (id=15 ownerUID=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8= ownerName=Mr. Tux)
00:52:41 [Party] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) left the party "Scarred Reapers" (id=15 ownerUID=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8= ownerName=Mr. Tux)
01:00:12 [Party] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) joinded the party "Scarred Reapers" (id=15 ownerUID=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8= ownerName=Mr. Tux)
01:00:36 [Party] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) left the party "Scarred Reapers" (id=15 ownerUID=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8= ownerName=Mr. Tux)
01:02:27 [Party] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) joinded the party "Scarred Reapers" (id=15 ownerUID=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8= ownerName=Mr. Tux)
01:07:11 [Safezone] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8= pos=<7253.759277, 263.317322, 7103.142578>) Entered the safezone
01:10:27 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell deerpelt x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
01:10:27 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold deerpelt x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 1500.
01:10:27 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell deerpelt x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
01:10:27 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold deerpelt x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 1500.
01:10:32 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell deersteakmeat x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
01:10:32 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold deersteakmeat x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 38.
01:10:32 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell deersteakmeat x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
01:10:33 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold deersteakmeat x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 40.
01:10:33 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell deersteakmeat x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
01:10:33 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold deersteakmeat x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 35.
01:10:33 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell deersteakmeat x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
01:10:33 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold deersteakmeat x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 30.
01:10:34 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell deersteakmeat x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
01:10:34 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold deersteakmeat x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 32.
01:10:35 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell deersteakmeat x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
01:10:35 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold deersteakmeat x1 at the trader "Hunting_Fishing (Boris [Hunting Trader])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 32.
01:11:41 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell ammo_762x39tracer x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
01:11:41 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold ammo_762x39tracer x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
01:12:22 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell mag_ak74_30rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
01:12:22 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold mag_ak74_30rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 28.
01:12:23 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell mag_expansion_mp7_40rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
01:12:23 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold mag_expansion_mp7_40rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 98.
