15:51:52 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has bought peachescan x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 30.
15:51:53 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to purchase peachescan x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
15:51:53 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has bought peachescan x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 30.
15:51:59 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to purchase marmalade x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
15:51:59 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has bought marmalade x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 25.
15:52:00 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to purchase marmalade x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
15:52:00 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has bought marmalade x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 25.
15:52:05 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to purchase canteen x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
15:52:05 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has bought canteen x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 200.
15:52:08 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to purchase sodacan_spite x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
15:52:08 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has bought sodacan_spite x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 10.
15:52:10 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to purchase sodacan_cola x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
15:52:10 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has bought sodacan_cola x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 10.
15:53:24 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to sell waterbottle x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
15:53:24 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has sold waterbottle x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 3.
15:53:25 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to sell waterbottle x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
15:53:25 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has sold waterbottle x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 2.
15:53:56 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has send a requested to purchase ammo_556x45 x100 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
15:53:56 [Market] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) has bought ammo_556x45 x100 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 200.
15:58:25 [Party] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) left the party "Soulless" (id=23 ownerUID=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik= ownerName=Soullessmonarcs)
15:59:15 [Party] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) left the party "Soulless" (id=23 ownerUID=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik= ownerName=Soullessmonarcs)
