06:41:09 [Party] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) joinded the party "Soulless" (id=23 ownerUID=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik= ownerName=Soullessmonarcs)
07:08:46 [Safezone] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ= pos=<7070.361328, 277.738556, 7036.946289>) Entered the safezone
07:09:39 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to purchase expansionbread1 x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:09:39 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has bought expansionbread1 x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 20.
07:09:40 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to purchase expansionbread1 x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:09:40 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has bought expansionbread1 x1 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 20.
07:12:05 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell tacticalgoggles x1 at the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:12:06 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold tacticalgoggles x1 at the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 30.
07:12:08 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell mvs_opscore_black x1 at the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:12:08 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold mvs_opscore_black x1 at the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 469.
07:12:13 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell militarygear_balaclava3_duckhunter x1 at the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:12:13 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold militarygear_balaclava3_duckhunter x1 at the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 38.
07:12:31 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell msp_grenadebox x1 at the trader "BaseImprovement (Peter [Base Improvement])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:12:31 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold msp_grenadebox x1 at the trader "BaseImprovement (Peter [Base Improvement])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 1250.
07:12:44 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell expansion_benellim4 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:12:44 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold expansion_benellim4 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 312.
07:12:54 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell fal_oebttstck x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:12:54 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold fal_oebttstck x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 38.
07:12:59 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammobox_308wintracer_20rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:00 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammobox_308wintracer_20rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 12.
07:13:00 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammobox_762x54tracer_20rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:00 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammobox_762x54tracer_20rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 4.
07:13:02 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:03 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
07:13:03 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:03 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
07:13:03 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:04 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
07:13:04 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:04 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
07:13:04 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:04 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
07:13:04 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:04 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
07:13:04 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:05 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
07:13:05 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:05 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
07:13:05 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:05 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
07:13:05 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:05 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
07:13:05 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:05 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
07:13:05 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:05 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
07:13:05 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
07:13:06 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
07:13:06 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell ammo_380 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
