22:25:10 [Party] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) joinded the party "Scarred Reapers" (id=15 ownerUID=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8= ownerName=Mr. Tux)
22:33:28 [Safezone] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8= pos=<7243.132324, 261.594360, 7100.655762>) Entered the safezone
22:34:52 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell ammo_762x39 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
22:34:52 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold ammo_762x39 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 1.
22:35:02 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell ammo_762x39 x7 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
22:35:02 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold ammo_762x39 x7 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 7.
22:35:04 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell ammo_556x45 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
22:35:04 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold ammo_556x45 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
22:35:04 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell ammo_556x45 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
22:35:04 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold ammo_556x45 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
22:35:05 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell ammo_556x45 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
22:35:05 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold ammo_556x45 x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 0.
22:35:25 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell mag_sg_30rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
22:35:25 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold mag_sg_30rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 147.
22:35:27 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell mag_saiga_5rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
22:35:27 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold mag_saiga_5rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 60.
22:35:31 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell buisoptic x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
22:35:31 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has sold buisoptic x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 75.
22:35:33 [Market] Player "Mr. Tux" (id=3FCmlLdqs97wNYtgsvMTGavMyuZc44PrYyr2Gfkoti8=) has send a requested to sell buisoptic x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
